Player Name,Position,Age,OVR,Dev Trait,Cap Savings,Cap Penalty,Trade Value Index,Trade Block Status,Draft Round,Pick Value (Pts),Asset Tier Equivalent
M. Parsons,REDG,27,98,X-Factor,$750K,$105M,81.4,High Value / Starter Asset,Round 1,"1,000 pts",Elite Franchise Starter
X. McKinney,SS,27,92,X-Factor,$1.21M,$21.1M,68.6,High Value / Starter Asset,Round 2,420 pts,Quality Day-1 Starter
J. Jacobs,HB,28,91,Superstar,$10.2M,$23.2M,72.0,High Value / Starter Asset,Round 3,210 pts,Immediate Contributor / High Upside
Z. Tom,RT,27,87,Star,$1.85M,$40.8M,66.5,High Value / Starter Asset,Round 4,95 pts,Rotational Depth / Core Special Teams
J. Love,QB,27,86,Superstar,$0,$109M,72.4,High Value / Starter Asset,Round 5,45 pts,Developmental Prospect
T. Kraft,TE,25,85,Star,$3.62M,$19.9M,82.1,High Value / Starter Asset,Round 6,25 pts,Roster Bubble / Depth Asset
E. Cooper,WILL,24,80,Star,$0,$3.09M,73.9,High Value / Starter Asset,Round 7,12 pts,Late Flier / Camp Body
J. Reed,WR,26,80,Star,$0,$32.1M,57.5,Active Rotation / Hold,,,
J. Hargrave,DT,33,80,Normal,$1.6M,$15.3M,20.0,Trade Block / Sell High,,,
D. Wyatt,DT,28,79,Star,$12.9M,$0,39.0,Active Rotation / Hold,,,
M. Golden,WR,23,78,Star,$0,$14.4M,73.9,High Value / Starter Asset,,,
C. Watson,WR,27,78,Star,$1.42M,$48M,44.4,Active Rotation / Hold,,,
I. McDuffie,SAM,27,78,Normal,$2.4M,$2.57M,38.6,Active Rotation / Hold,,,
K. Nixon,CB,29,78,Normal,$4.3M,$12.1M,25.7,Trade Surplus / Depth Piece,,,
G. Glasgow,C,34,77,Normal,$5.22M,$4.61M,17.0,Trade Block / Sell High,,,
D. Dennis-Sutton,LEDG,22,77,Normal,$880K,$1.12M,66.8,High Value / Starter Asset,,,
A. Belton,RG,25,77,Normal,$1.2M,$1.83M,48.6,Active Rotation / Hold,,,
A. Robinson,DT,31,77,Normal,$5.05M,$0,17.0,Trade Block / Sell High,,,
C. Valentine,CB,24,77,Normal,$2.1M,$2.2M,54.6,Active Rotation / Hold,,,
B. St-Juste,CB,28,77,Star,$1.3M,$5.67M,34.9,Trade Surplus / Depth Piece,,,
J. Daniels,RG,28,76,Normal,$4.97M,$0,28.6,Trade Surplus / Depth Piece,,,
B. Christensen,LT,29,76,Normal,$4.8M,$0,22.9,Trade Surplus / Depth Piece,,,
T. Smack,K,23,76,Normal,$880K,$200K,57.1,Active Rotation / Hold,,,
J. Bullard,SS,23,76,Normal,$0,$2.24M,57.1,Active Rotation / Hold,,,
L. Van Ness,LEDG,25,76,Normal,$0,$5.52M,45.7,Active Rotation / Hold,,,
E. Williams,FS,25,76,Normal,$1.07M,$400K,45.7,Active Rotation / Hold,,,
J. Morgan,LT,25,75,Normal,$1.47M,$4.17M,42.9,Active Rotation / Hold,,,
S. Moore,WR,25,74,Normal,$1.21M,$1.28M,40.0,Active Rotation / Hold,,,
D. Whelan,P,27,74,Normal,$1.45M,$1.8M,30.0,Trade Surplus / Depth Piece,,,
D. Kinnard,RT,26,73,Normal,$1.31M,$1.44M,32.5,Trade Surplus / Depth Piece,,,
J. Burton,RG,24,73,Normal,$880K,$480K,41.8,Active Rotation / Hold,,,
M. Hardman,WR,28,73,Normal,$2.5M,$20K,23.2,Trade Surplus / Depth Piece,,,
S. Williams,WR,24,72,Normal,$1.07M,$1.05M,38.6,Active Rotation / Hold,,,
C. Oliver,REDG,23,72,Normal,$880K,$300K,42.9,Active Rotation / Hold,,,
L. Musgrave,TE,25,72,Normal,$1.9M,$790K,34.3,Trade Surplus / Depth Piece,,,
B. Sorrell,REDG,23,71,Normal,$1M,$690K,39.3,Active Rotation / Hold,,,
D. Martinez,HB,22,71,Normal,$880K,$0,43.2,Active Rotation / Hold,,,
